Method,MAE_15mins,RMSE_15mins,MAE_30mins,RMSE_30mins,MAE_60mins,RMSE_60mins
Add Noise,4.040002729065503,9.70073605190483,5.3365834771811205,12.45279749514098,7.394463634669899,15.723921539305605
DCT,3.971801751147392,9.64868608081729,5.279172694070829,12.455537524154877,7.3440580715324755,15.773819719196421
Drift,3.998331833793656,9.646596171481685,5.3038697973447135,12.426734839339048,7.374354026346476,15.715867745099093
Drop,3.971902481897131,9.65241685132043,5.279332438258735,12.459688548038566,7.344635239875551,15.778117279143384
Pool,3.9697894044856814,9.649656067652591,5.2781930262331365,12.460670882620684,7.344396978263765,15.778986260548367
Reverse,4.866907942645207,10.654465329126625,6.422619943433599,13.510637502400197,9.049538781064893,17.815332844338936
Time Warp,3.9778065429229743,9.65297047314841,5.292745810724338,12.458557207568402,7.348900725227987,15.77026863730371
Without Augmentation,3.972911649949754,9.650012405989548,5.280161271818105,12.455579425436708,7.344130370086396,15.7735581776294
