,Sensor_ID,Method,MAE_15mins,RMSE_15mins,MAE_30mins,RMSE_30mins,MAE_60mins,RMSE_60mins
198,717578,Pool,3.522501352896355,9.008749362064915,4.508300427497735,11.436883952958782,6.140350042537752,14.486497938280728
199,717578,Drop,3.5279490743791087,9.016375184580728,4.506519357543932,11.435599142413617,6.13740255271727,14.481789250108681
200,716960,Without Augmentation,6.0081648039643625,10.728185377823186,7.605803441462918,13.53673064194751,10.073025913688259,17.22926171753544
201,716960,DCT,5.988473693555219,10.716444739750607,7.612331409130791,13.540527861810896,10.073333946935913,17.229378941371106
202,716960,Add Noise,6.034644930771019,10.743350266101343,7.642617919499132,13.558773709370906,10.096968479121557,17.132027749779354
203,716960,Time Warp,5.996094554557914,10.714266842039267,7.6146708705956625,13.538284138106897,10.075154345404934,17.23703091011982
204,716960,Reverse,7.08806725475368,11.991116357612585,8.770124829246656,14.791011978471161,11.613370832640348,18.704515347207277
205,716960,Drift,6.0104361498707535,10.70973740926574,7.617868841520118,13.522334242856651,10.070872607289017,17.195292995435146
206,716960,Pool,5.986761690503916,10.722770268714038,7.606492956830975,13.551880755343573,10.075856846128685,17.243472531325587
207,716960,Drop,5.987556505580251,10.723916613977735,7.608305294256172,13.548594817223027,10.075188161035621,17.240107114854773
208,717804,Without Augmentation,5.019417403276426,9.688035834002676,6.202427496728944,11.897954485804807,7.7779095063420405,14.124149342822626
209,717804,DCT,5.019852610995403,9.688441928589599,6.203681377016245,11.90441603782727,7.778651552574253,14.137231668339938
210,717804,Add Noise,5.027090464625647,9.660457797779868,6.207262140479732,11.838576930559602,7.777478192739665,14.062181507116055
211,717804,Time Warp,5.018368483386714,9.677229761545597,6.199946956704343,11.880871716070288,7.778287658666049,14.117823316353936
212,717804,Reverse,5.617038915676473,10.212620973812516,6.887822032592877,12.30786511094727,8.936373461316181,15.136079696509425
213,717804,Drift,5.018030812949593,9.649447002034735,6.2029667207959935,11.838705040133549,7.776844147543457,14.06309042611161
214,717804,Pool,5.021890312670361,9.699062122825556,6.204358963151704,11.919070731097127,7.786319529847267,14.150429583339145
215,717804,Drop,5.0203669419922115,9.692967870294654,6.204016173379256,11.914650665430004,7.779501492621304,14.144271339378921
216,767572,Without Augmentation,2.7838481250659037,8.187790504752915,3.4457295186506873,10.380385163288619,4.455543898841299,12.872688471256941
217,767572,DCT,2.7773555920749486,8.182299715528002,3.444163158207219,10.382820245823964,4.455756323405192,12.870438376595843
