Model,MAE_15mins,RMSE_15mins,MAE_30mins,RMSE_30mins,MAE_60mins,RMSE_60mins
Bi-GRU,3.741082431277943,9.656761238716504,4.934852959427302,12.319465352837614,6.720651924553768,15.40880006065841
TCN,3.7865189487721307,9.653557246601295,4.966444515609735,12.30268819126378,6.761113798169634,15.425846546070625
