Method,MAE_15mins,RMSE_15mins,MAE_30mins,RMSE_30mins,MAE_60mins,RMSE_60mins
Add Noise,5.5223674662851545,12.065365341621737,6.569425942608269,13.97662468075611,8.301604020684758,16.678233269095507
Drift,5.534019770364271,12.083024896338793,6.580428856389864,13.991947404749679,8.312048240263163,16.69136477367231
Drop,5.523164056432027,12.066281451621679,6.569874374512694,13.976786655938788,8.301582206722026,16.6775922162876
HA,5.518024896471005,12.057492500350708,6.56513056139527,13.969779158117923,8.297627430104866,16.672662072226178
Pool,5.518024896471005,12.057492500350708,6.565130561395269,13.969779158117923,8.297627430104866,16.672662072226178
Reverse,5.518024896471005,12.057492500350708,6.565130561395269,13.969779158117923,8.297627430104866,16.672662072226178
Time Warp,5.519138927667358,12.054000370059512,6.567446920145387,13.969120936534761,8.299857026993141,16.67289255176311
