,Sensor_ID,Method,MAE_15mins,RMSE_15mins,MAE_30mins,RMSE_30mins,MAE_60mins,RMSE_60mins
440,774067,Drop,8.997145211785039,16.416956002306534,10.203699143349553,18.337222854441166,11.800679548446169,20.623743781681622
441,769443,HA,5.98092091491909,12.291325231248264,7.188681487274553,14.251829240989991,9.18457773336423,17.124550104518782
442,769443,Add Noise,5.982203451540211,12.293408506961619,7.187780378913028,14.253073334180293,9.187101157482083,17.12815403341505
443,769443,Time Warp,5.990477846884039,12.317368181153622,7.199703017671767,14.278933792398261,9.194352163952601,17.143347445543462
444,769443,Reverse,5.98092091491909,12.291325231248264,7.188681487274553,14.251829240989993,9.18457773336423,17.124550104518782
445,769443,Drift,6.003475601904069,12.323622276745558,7.208436065804813,14.280091250801322,9.202533422207887,17.149547674000384
446,769443,Pool,5.98092091491909,12.291325231248264,7.188681487274553,14.251829240989991,9.18457773336423,17.124550104518782
447,769443,Drop,5.988189812722872,12.302826794838587,7.192849243682335,14.257357921902793,9.190338082525523,17.132145200362558
448,767750,HA,4.538735015255089,11.81395934437599,5.425415826671301,13.727436961063209,6.843787355655968,16.396604909732762
449,767750,Add Noise,4.541616198271417,11.817533665095596,5.427940800504383,13.73145964066808,6.846391179217345,16.399864076543892
450,767750,Time Warp,4.542357388310584,11.818105572131088,5.425989856833477,13.722967241121195,6.840895968543433,16.386506527049423
451,767750,Reverse,4.538735015255089,11.813959344375993,5.425415826671301,13.727436961063209,6.8437873556559685,16.396604909732762
452,767750,Drift,4.555563941511014,11.840521423111506,5.444063599578557,13.753584756674767,6.860764332949929,16.41425172662235
453,767750,Pool,4.538735015255089,11.813959344375993,5.425415826671301,13.727436961063209,6.8437873556559685,16.396604909732762
454,767750,Drop,4.5405354169885035,11.818372684519927,5.426600541732643,13.728658266296291,6.845198038964843,16.39869625813984
455,767751,HA,4.775515650948132,10.600489321890729,5.37121785810837,12.090930894562694,6.282305574865793,14.059050463939506
456,767751,Add Noise,4.7801637607953,10.609713915983061,5.375799947416636,12.100290780377428,6.2888988132520085,14.064761112585646
457,767751,Time Warp,4.777688783076486,10.593577870330364,5.382487262032267,12.096710906424182,6.2930336752988385,14.070419530958102
458,767751,Reverse,4.775515650948133,10.600489321890729,5.37121785810837,12.090930894562696,6.282305574865793,14.059050463939508
459,767751,Drift,4.787443779829778,10.612539371943027,5.385654722379554,12.10218768130709,6.293193198361463,14.065756579462317
460,767751,Pool,4.775515650948133,10.600489321890729,5.37121785810837,12.090930894562696,6.282305574865793,14.059050463939508
461,767751,Drop,4.77791910828538,10.604007461142071,5.374242049492142,12.09484014568107,6.28472452351987,14.063114014851545
462,767610,HA,4.838132642026802,13.541351779212544,5.794448296836982,15.677387662739672,7.332967240180744,18.588586079900445
463,767610,Add Noise,4.84172977809383,13.547882426733239,5.7980751166981,15.683854924259908,7.335069077867224,18.592210985324535
464,767610,Time Warp,4.83768500640828,13.535412989130696,5.798787268669485,15.680698952045157,7.328315374646291,18.576051510470254
465,767610,Reverse,4.838132642026802,13.541351779212542,5.7944482968369835,15.67738766273967,7.332967240180744,18.588586079900445
466,767610,Drift,4.85025100531774,13.560633734901177,5.808586397697351,15.698573815802979,7.345581883110734,18.607329366328855
467,767610,Pool,4.838132642026802,13.541351779212544,5.7944482968369835,15.67738766273967,7.332967240180744,18.588586079900445
468,767610,Drop,4.8421167780223735,13.549864181818513,5.800912616344186,15.68882220860992,7.338452162263932,18.596762048101787
469,773880,HA,4.763069304445216,13.074746211661092,5.591941229289769,14.942835966401283,6.848520777816399,17.310208425969847
