,Sensor_ID,Neighbor_Type,k,MAE_15mins,RMSE_15mins,MAE_30mins,RMSE_30mins,MAE_60mins,RMSE_60mins
0,773869,GEO,1,4.12979168116313,9.642441922713825,6.030267845934713,12.618209746782712,8.975694784964237,16.065897153577374
1,773869,GEO,2,4.2274952459741195,9.66941065294375,6.153455112900752,12.637962179232161,9.139614721085172,16.094824594745354
2,773869,GEO,3,4.129379905641405,9.60132913554479,5.960766533773799,12.510713282722074,8.77423573393074,15.885156538488767
3,773869,GEO,4,4.066136763961939,9.539691688131752,5.831407051987623,12.339753487346584,8.454864471788357,15.4932764165011
4,773869,GEO,5,4.04452608191869,9.54030282571457,5.775390438513217,12.312016946073499,8.349261975245103,15.415317864574499
5,767541,GEO,1,3.175783238912739,8.24388352697052,4.122968864208713,10.40697795587779,5.462229460916007,12.758475402014765
6,767541,GEO,2,3.1702874173955307,8.23425876331932,4.114969310886997,10.389883863749187,5.455028235991772,12.731327759506376
7,767541,GEO,3,3.171717950878512,8.234598922631818,4.117302763286179,10.394222818471043,5.468926649141341,12.743339352457486
8,767541,GEO,4,3.172560206095858,8.239135004898932,4.113478988450772,10.399407549111302,5.4494265698411235,12.750913136723454
9,767541,GEO,5,3.1691673496156127,8.23854409731491,4.103884482079797,10.394753291875736,5.447333185597458,12.749881090942843
10,767542,GEO,1,3.773684495372592,8.967234503053907,5.371722315787226,11.761334994267544,7.945887806776678,15.066965807518866
11,767542,GEO,2,3.822138630834971,8.902123023548477,5.381782548820374,11.53485673569038,7.831894534636728,14.697779143879979
12,767542,GEO,3,3.8103541149369744,8.873244849679418,5.354908864022545,11.558005627232255,7.796731962419848,14.737847980509843
13,767542,GEO,4,3.817465099961417,8.883882141786827,5.356064465776309,11.560595181813248,7.805574925326594,14.741180166184243
14,767542,GEO,5,3.809115106673242,8.883608156828716,5.350386219043194,11.567468882034644,7.789015138680794,14.749860998644994
15,717447,GEO,1,4.21688321783811,8.090067767702285,5.577561067914982,10.139572364014965,7.3202014546668694,12.38950662756662
16,717447,GEO,2,4.087837120881958,7.95655772267494,5.460147802457694,10.053412463322228,7.20518828495206,12.313932717575291
17,717447,GEO,3,4.1868893936554965,7.958363485616345,5.609111438293828,10.042630581554972,7.505292328476033,12.313729969806802
18,717447,GEO,4,4.134745866221703,7.929349384576585,5.506610272890696,9.982459584453423,7.321674207767461,12.213936037013973
19,717447,GEO,5,4.048897428229316,7.902338053167791,5.386994221941252,9.951259450905464,7.1717575442869395,12.193762303938767
20,717446,GEO,1,5.8672362341091,9.192009449914151,7.545249581825337,11.503267563342844,9.970328633580062,14.33715934827153
21,717446,GEO,2,5.8671211106813494,9.168491616037079,7.549776103131875,11.457918740075419,9.950175441823003,14.258235460050608
22,717446,GEO,3,5.87731466965881,9.341703087615388,7.537634069907777,11.69078888460215,9.850721468508718,14.52672997866789
23,717446,GEO,4,5.888322071575784,9.364260658083856,7.527858148479189,11.676052022187946,9.833302091310584,14.496389821903369
24,717446,GEO,5,5.8622641701445986,9.32629847260272,7.462540459052159,11.639257390651666,9.653967112980226,14.341566094918578
25,717445,GEO,1,5.104342167027726,8.902852245169592,6.495142459872291,10.944702554967943,8.339149955052754,13.230832070348487
26,717445,GEO,2,5.1964795076258,8.912227479131712,6.672658252095422,10.92489631890531,8.594771288905148,13.164268436100599
27,717445,GEO,3,5.081254994593133,8.775228021289312,6.579323959185793,10.86427179493001,8.543843692088863,13.125734676429962
28,717445,GEO,4,5.049017057825846,8.775319892602612,6.488054387060113,10.844267537532923,8.361546610063618,13.05343853553619
29,717445,GEO,5,4.968887785799,8.703870186067117,6.4040173343884295,10.791123231143814,8.297575538590804,13.022581553679945
30,773062,GEO,1,4.306681709774735,8.730277429572942,5.685394824461347,11.052161503551938,7.759894449406457,13.674673482287204
31,773062,GEO,2,4.288245258836995,8.69611447148774,5.640681755143527,10.978059953208609,7.652510721095894,13.507453162448382
32,773062,GEO,3,4.298901703651394,8.69101773727238,5.6720600119349225,10.978021940329775,7.704129349211189,13.505460950750862
33,773062,GEO,4,4.254410872457668,8.612406550299255,5.63739308801586,10.90346938870043,7.673943558560542,13.372212968037859
34,773062,GEO,5,4.226062140146946,8.615139688333466,5.594947623611552,10.898200426489765,7.637727561087678,13.363806724713045
35,767620,GEO,1,3.070636000444237,8.024422222296687,3.970570458200817,10.139719858569311,5.283686088935404,12.427717838530892
36,767620,GEO,2,3.0534200957737494,8.008019514917365,3.9433279068049845,10.11749637299833,5.251207725487625,12.40826468560419
37,767620,GEO,3,3.153896860309332,8.055099490899206,4.048726030257337,10.139853749272469,5.353176066713488,12.439798669664844
38,767620,GEO,4,3.1696647633965833,8.066015175902853,4.053170701948892,10.14109803845098,5.36225262480732,12.452188259903512
39,767620,GEO,5,3.1773010161301074,8.070297766431462,4.076794085598234,10.144058429150503,5.402765909455372,12.466034155768197
40,737529,GEO,1,4.814342542150331,10.078793963619171,6.138284901438783,12.173737983976693,7.886956860094829,14.507024451602831
41,737529,GEO,2,4.890310211918041,9.993293879200525,6.251639940396703,12.132829949174903,7.989608484232798,14.530650662011514
42,737529,GEO,3,4.840432134221436,9.8868195601328,6.185554641279047,12.034417783851492,7.934524766676896,14.506932726257833
43,737529,GEO,4,4.841666483148432,9.869308837098504,6.179434042592961,12.019740964764056,7.934345614066351,14.512019122300712
44,737529,GEO,5,4.843858457643934,9.863590813569461,6.17604414326728,12.014356331519771,7.934726907103832,14.512362256185355
45,717816,GEO,1,4.590805093961253,9.576390897419842,6.5539766875794685,12.634407174389489,9.887076421570644,16.50888388727664
46,717816,GEO,2,4.588725161290326,9.556924397439406,6.518879322627547,12.610512263750339,9.756103724194089,16.625627219771175
47,717816,GEO,3,4.6029192527207,9.557047823921076,6.531362956901782,12.60347507631649,9.790589295536186,16.6201562303256
48,765604,GEO,1,3.5806681235894713,8.210309548879886,4.684180012286661,10.385038543168603,6.252605100860889,12.823177952232122
49,765604,GEO,2,3.6506310724420827,8.217908825127404,4.772632703188844,10.401685437833143,6.305826967629057,12.824809120752393
50,765604,GEO,3,3.6555190996073392,8.21995468528201,4.802568075367761,10.407061241770458,6.381139134186766,12.837938440708571
51,767471,GEO,1,4.259128533116221,10.569844025906951,5.74030644616205,13.062707121313318,7.756361718107193,15.66188169362147
52,767471,GEO,2,4.254239728663204,10.593424704995078,5.746856773216197,13.08197805451084,7.79873857467372,15.678096522929025
53,767471,GEO,3,4.201111934891139,10.599931574088783,5.665376449215806,13.070479152564705,7.736164778881256,15.664372937233022
54,767471,GEO,4,4.238032373212602,10.578927436843987,5.707743870308784,13.034980352406686,7.741073955536726,15.643431821726086
55,767471,GEO,5,4.252724299891347,10.573100416556716,5.683657387874096,12.993093750722762,7.703609786600215,15.592810699052697
56,716339,GEO,1,4.571638105265638,9.020916734976973,6.816423731049124,12.13817458727354,10.612513924329495,16.097830751312845
57,716339,GEO,2,4.534552472816184,8.977128708602548,6.8037182100556794,12.088624296300877,10.630515948794114,16.08119641286193
58,716339,GEO,3,4.656662745748028,8.923488008563009,6.813025065821812,12.01740490652706,10.523409886066187,16.00307126952597
59,716339,GEO,4,4.665525418609739,8.905737280415632,6.823157249479563,11.997296278873367,10.484420135805394,15.93703812362507
60,716339,GEO,5,4.695842877117771,8.917972633066878,6.862801814563435,12.01358364708409,10.507895064384224,15.97797120005491
61,773906,GEO,1,4.709046241356132,10.467906371941105,6.407987927565976,13.192036593316072,8.764875030572652,16.190694774576528
62,773906,GEO,2,4.748028451417025,10.438890311377909,6.436504093424371,13.121629176055402,8.775395403544065,16.110081957361267
63,773906,GEO,3,4.759537091095014,10.410888712699762,6.42829222142307,13.077837792157398,8.782195890574968,16.113802838862696
64,773906,GEO,4,4.7602653499606165,10.416393878300836,6.416345608465471,13.088126064928295,8.74316413677071,16.11968038176372
65,773906,GEO,5,4.7778676918275105,10.412485787331976,6.428612402697943,13.099726977616216,8.787416491466844,16.186239094689142
66,765273,GEO,1,5.157383830576345,9.20521868213099,6.658252042790687,11.740049303123998,9.072495252817298,15.010512644841782
67,765273,GEO,2,5.06497019156273,9.09369705572305,6.5775917740997345,11.712531489996845,9.050930992161822,15.091100046747519
