,Sensor_ID,Neighbor_Type,k,MAE_15mins,RMSE_15mins,MAE_30mins,RMSE_30mins,MAE_60mins,RMSE_60mins
0,773869,GEO,1,3.5059566538806113,9.92611218611634,5.052639690443016,13.306124634159191,7.562117624401923,17.488467570942635
1,773869,GEO,2,3.5076404458602735,9.927153877124558,5.0541564461745105,13.307895850543135,7.536731836163266,17.458830375160407
2,773869,GEO,3,3.5027075246375516,9.91343412960427,5.049644519759393,13.286197757738345,7.520068217421415,17.42583595334746
3,773869,GEO,4,3.4962268874371616,9.885397066573175,5.0279817655840695,13.21357492393755,7.429733539434627,17.16146361831633
4,773869,GEO,5,3.488756168598745,9.885687459659573,5.0105284714496054,13.186264554740726,7.332783180185057,17.025756426458955
5,767541,GEO,1,2.729192733151829,8.424251992879027,3.4838048900151004,10.809432172188886,4.620100677140569,13.490816462659856
6,767541,GEO,2,2.7194672012934005,8.39266118330913,3.4706014647281944,10.792014282468031,4.613669392258131,13.476757620975869
7,767541,GEO,3,2.7093397911495223,8.386087244620292,3.466134383334549,10.780698682408316,4.61652294725162,13.465461041517903
8,767541,GEO,4,2.7074068084680927,8.379802057964584,3.463915538332795,10.778934368700254,4.6139210280279475,13.473832101357253
9,767541,GEO,5,2.7014449329411385,8.37555637491395,3.4590434348119423,10.770173560136485,4.610808055830321,13.477077346146828
10,767542,GEO,1,3.1338565042568636,9.10905924471854,4.402029548101525,12.257714733947068,6.550256295343732,16.255824677844778
11,767542,GEO,2,3.11426181534894,9.038892848261796,4.350910885137617,12.097680887437997,6.3660213530166025,15.661797526550615
12,767542,GEO,3,3.094251079222621,9.008721549014822,4.325045480497606,12.081231762387661,6.366832948500234,15.689907149332008
13,767542,GEO,4,3.0911606863511283,9.009721498838838,4.322248945423754,12.081253954185504,6.360342172299663,15.691526349227336
14,767542,GEO,5,3.0909536069430854,9.007775398477788,4.322890756746905,12.080391187474776,6.35889630348096,15.683483954049578
15,717447,GEO,1,3.711547455047235,8.215677236833962,4.886658261028721,10.469867243371407,6.638286133449734,12.751389407674269
16,717447,GEO,2,3.6305962295724243,8.07847323449957,4.794533197962598,10.36361912017037,6.4108727969883965,12.905161331520294
17,717447,GEO,3,3.6097818070595804,8.049273381354354,4.776238217491336,10.297092877639452,6.410292126707156,12.79231233278795
18,717447,GEO,4,3.5985663624070163,8.040612173867896,4.758496251733876,10.292621931964456,6.38281786354507,12.782916072252377
19,717447,GEO,5,3.58222410621952,7.982434186464202,4.710427831295487,10.216582367027062,6.263418966994619,12.758781900549465
20,717446,GEO,1,5.287809857453165,9.037073652554245,6.640794902777528,11.337795605587747,8.856270944451731,14.31395645556432
21,717446,GEO,2,5.239237912898836,9.028582846340436,6.589332300128132,11.349566492349254,8.824002238253302,14.428396614077979
22,717446,GEO,3,5.271258848188718,9.147251521792743,6.644947076758143,11.521188648976374,8.786585373208343,14.616671242555277
23,717446,GEO,4,5.277403030439242,9.163336986007376,6.641916304210855,11.52660617206569,8.797200542235522,14.64594276953108
24,717446,GEO,5,5.271011530373815,9.153571643738745,6.607048126683,11.474119731447129,8.693147699049144,14.471778325599296
25,717445,GEO,1,4.644140316979901,9.132767528871415,5.882347088268598,11.384615431786758,7.7259767359941245,13.906232357465106
26,717445,GEO,2,4.6464395482027685,9.121526989214816,5.896203149681816,11.373899102605595,7.732453663339131,13.893723944013072
27,717445,GEO,3,4.5693342352224695,8.985381773069957,5.8407205027856,11.311325868551698,7.6859326710345455,13.930304324623673
28,717445,GEO,4,4.563892099824864,8.96105355892807,5.794587669494036,11.21711026181823,7.50351876586264,13.747746994070097
29,717445,GEO,5,4.524954796642577,8.889319883453664,5.760828351627117,11.168258780957318,7.46114304317612,13.718427127295241
30,773062,GEO,1,3.868764022300688,8.88071086836723,5.053923660723488,11.431152192330954,6.935415130983664,14.412066103582424
31,773062,GEO,2,3.8384104892757884,8.84050073463865,4.995268931518342,11.380569415760688,6.817001423304127,14.28770153996483
32,773062,GEO,3,3.836095140346133,8.829062362919979,4.997577331363247,11.37987808342573,6.816614371993448,14.269490011184729
33,773062,GEO,4,3.7868870433233495,8.753216263051138,4.9473603610558285,11.32207401481015,6.795915900168618,14.17047206495216
34,773062,GEO,5,3.7437932032030186,8.713857351612987,4.868141359219091,11.259631839311847,6.627815415808762,14.213087495544126
35,767620,GEO,1,2.7191054883281347,8.163790275862375,3.441134255626468,10.530660974960723,4.511016087582076,13.216932773474774
