Method,MAE_15mins,RMSE_15mins,MAE_30mins,RMSE_30mins,MAE_60mins,RMSE_60mins
Add Noise,4.652538286315714,9.513524114100916,6.274081352458425,12.040869615753659,8.669675063748159,14.937266613231884
DCT,4.615299325123303,9.48478595342031,6.242138068016145,12.026159426715461,8.64508468161764,14.928321571812049
Drift,4.649241395881681,9.492737942880309,6.271029101268988,12.029339603565617,8.667750059342488,14.931585381247888
Drop,4.610197060301045,9.486625457028675,6.237240928001457,12.028148533117346,8.641915442850053,14.929352158166653
Pool,4.620437920495077,9.473500571148504,6.248145487278459,12.022067830327186,8.649225093925455,14.926740492678968
Reverse,6.257255434981192,11.091740329762352,7.340776781884864,13.157005278751766,9.010161182964533,16.060396215134872
Time Warp,4.620788553580815,9.472798692853196,6.256258256376319,12.028569959100924,8.6543097609271,14.930557528313313
Without Augmentation,4.615899969773993,9.485174818493492,6.241631006353423,12.026060770403065,8.645152034533048,14.928818693545775
