,Sensor_ID,Method,MAE_15mins,RMSE_15mins,MAE_30mins,RMSE_30mins,MAE_60mins,RMSE_60mins
1477,767494,Drift,3.341668070115735,8.156838931790778,4.25519030168586,10.263278145994038,5.473220394397671,12.532034609725109
1478,767494,Pool,3.319369079346017,8.12526622620106,4.246771548411846,10.253844623578749,5.464732407476629,12.523693934492437
1479,767494,Drop,3.3085050827383315,8.148338804794996,4.227573604365334,10.266499968640066,5.454318563503001,12.530388461830215
1480,717821,Without Augmentation,4.444758784448969,9.82941985013298,5.879585215182945,12.182647137994339,7.880318123365708,14.92582273700424
1481,717821,DCT,4.446090259450809,9.827833871928872,5.881509019987852,12.182950598157499,7.880632773665879,14.926426249587267
1482,717821,Add Noise,4.478679174793378,9.85363641545929,5.905615407916703,12.197263459039743,7.897701946739625,14.933888542024897
1483,717821,Time Warp,4.446070231687507,9.824237022181505,5.8902918039617465,12.184270186352121,7.888007656677625,14.929355670529583
1484,717821,Reverse,5.66677490943104,11.04627466285094,6.625329116137907,13.107888198430786,8.126905932661035,16.181421750398886
1485,717821,Drift,4.469190860301101,9.834078228561966,5.89990533518941,12.18670566608655,7.896616339838671,14.931629566491594
1486,717821,Pool,4.44799976496635,9.817374969458223,5.885430541418021,12.17168266236009,7.888698247791999,14.921270189028974
1487,717821,Drop,4.435882306010821,9.827517203964145,5.874033942422257,12.181978241500135,7.877621888235312,14.922243221296744
1488,717823,Without Augmentation,4.386419818181629,9.226926837265296,5.730545688233743,11.640891588348357,7.934730687038986,14.452927913555595
1489,717823,DCT,4.387866112729125,9.22906567493951,5.732684698565931,11.642046985051621,7.933834626658468,14.452896882076285
1490,717823,Add Noise,4.415951226802924,9.256856934305135,5.756208683668655,11.655663289946519,7.955068566287869,14.458353133858202
1491,717823,Time Warp,4.391920867781772,9.21051190733843,5.743326924920626,11.63429015418786,7.9450374128274825,14.451580960704966
1492,717823,Reverse,5.933383531498262,10.914880109578924,6.856660899772317,12.789626786785995,8.467616642061635,15.609585602893194
1493,717823,Drift,4.412041543291093,9.227209037398435,5.756506077667268,11.634887113781133,7.960339922987729,14.451255519971859
1494,717823,Pool,4.383716372437882,9.20665287127048,5.732632341220704,11.636158036007094,7.934680451032488,14.454385014423943
1495,717823,Drop,4.385010294203442,9.231545235359349,5.72994301903144,11.647964172038714,7.930108617298507,14.455620187891922
